dataset,seed,split,view_type,rows,view_ce_mean,view_correct_rate,view_flip_rate,anchor_view_abs_diff_mean,anchor_view_jsd_mean,h_collab_shift_norm_mean,h_collab_cosine_to_anchor_mean
weibo21,42,train,anchor_deterministic_dca,4926,0.00026026858336784537,1.0,0.0,0.0,0.0,0.0,1.0000000615890463
weibo21,42,train,forced_pad_bottom2,4926,0.0002466201005506871,1.0,0.0,3.3259620179124745e-05,7.603965303152115e-07,1.0004617975971053,0.10835044016328785
weibo21,42,train,forced_pad_top2,4926,0.00025812417777966136,1.0,0.0,1.79498176353609e-05,2.5652375204604924e-07,0.6869898860138991,0.5686575347906295
weibo21,42,train,forced_random_pair_seed1,4926,0.0002470045898887165,1.0,0.0,2.9941800190167806e-05,6.536286379555641e-07,0.9100160032474457,0.2206861674314848
weibo21,42,train,forced_random_pair_seed2,4926,0.00024680021434689747,1.0,0.0,2.811524236800797e-05,6.056319053847478e-07,0.9151844977243518,0.21356024391673334
weibo21,42,train,forced_random_pair_seed3,4926,0.0002472141913276174,1.0,0.0,2.9057093016172418e-05,6.253776397183566e-07,0.9152194054640748,0.21435936528922203
weibo21,42,train,forced_shuffled_pad_top2,4926,0.00025625068824541706,1.0,0.0,2.1160868487478322e-05,3.860863728379275e-07,0.7193236414901232,0.5211527512253383
weibo21,42,train,mean_all_domain_prompts,4926,0.0002480278881379624,1.0,0.0,2.0207945441459698e-05,3.0041451744855985e-07,0.6237399818763664,0.5291589319439763
weibo21,42,train,no_collab_zero,4926,0.0002505744391960444,1.0,0.0,1.8819596318046283e-05,2.699409872674951e-07,0.7345028198980191,0.0
weibo21,42,val,anchor_deterministic_dca,615,0.15835834386303682,0.9560975609756097,0.0,0.0,0.0,0.0,1.0000000639659603
weibo21,42,val,forced_pad_bottom2,615,0.158167083670277,0.9560975609756097,0.0,0.002446932070870574,5.681334092298596e-05,1.003926895401342,0.10321739978664289
weibo21,42,val,forced_pad_top2,615,0.15778331337186874,0.9544715447154472,0.0016260162601626016,0.0013182222170857634,1.4239589238460727e-05,0.6881601476087803,0.5642624976189156
weibo21,42,val,forced_random_pair_seed1,615,0.15894671432754626,0.9560975609756097,0.0,0.001706845809720965,2.7035949865931083e-05,0.9153731302517216,0.21136712813106312
weibo21,42,val,forced_random_pair_seed2,615,0.15829171188366833,0.9560975609756097,0.0,0.0017061137406165108,2.8572481422157663e-05,0.9210140347480774,0.20178086566133047
weibo21,42,val,forced_random_pair_seed3,615,0.15870855973334372,0.9560975609756097,0.0,0.0016748979606601517,2.6486562539851378e-05,0.9226782716386687,0.20060163124812752
weibo21,42,val,forced_shuffled_pad_top2,615,0.1568494839919968,0.9560975609756097,0.0032520325203252032,0.001528755821460081,2.0034898825899195e-05,0.7287859256674604,0.5037179939145965
weibo21,42,val,mean_all_domain_prompts,615,0.15801283351243242,0.9560975609756097,0.0,0.0010617746693075854,1.1090945718130415e-05,0.6242546603931645,0.5231570955699052
weibo21,42,val,no_collab_zero,615,0.15784543714357416,0.9560975609756097,0.0,0.0010437633465390326,1.078696711885287e-05,0.7315218745208368,0.0
