dataset,model,category_name,n_available_seeds,available_seeds,missing_seeds,n_total_across_seeds,macro_f1_mean,macro_f1_std,acc_mean,acc_std,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std,high_confidence_error_rate_mean,high_confidence_error_rate_std,error_rate_mean,error_rate_std,mean_confidence_mean,mean_confidence_std
weibo,MMDFND,健康,3,"42,2024,2026",,348,0.8337250297091106,0.1242771676485152,0.8362068965517242,0.1206896551724138,0.9567846169095054,0.05050314704633263,0.10019284816762748,0.0356810351886955,0.10264993841654811,0.050734192888303754,0.022988505747126436,0.017945396547121836,0.16379310344827586,0.12068965517241378,0.8824368572297615,0.09098235880520987
weibo,MMDFND,军事,3,"42,2024,2026",,69,0.8833916083916084,0.04991703523768416,0.8840579710144927,0.05020437123388047,0.976923076923077,0.0076923076923077205,0.10693647335437413,0.025068837769250066,0.09899189041775348,0.021407196871930167,0.07246376811594203,0.02510218561694025,0.11594202898550725,0.0502043712338805,0.9329611335201332,0.06488018629006298
weibo,MMDFND,国际,3,"42,2024,2026",,27,0.9259259259259259,0.06415002990995838,0.9259259259259259,0.06415002990995845,1.0,0.0,0.164852736517248,0.13464926412631092,0.08565070134338733,0.045327755567101,0.037037037037037035,0.06415002990995841,0.07407407407407407,0.06415002990995841,0.8712414168505886,0.16703314085056123
weibo,MMDFND,娱乐,3,"42,2024,2026",,1377,0.8908393095891576,0.02619031028591916,0.9222948438634712,0.016496465783007324,0.9667486070140937,0.00784297547507697,0.057185878617719725,0.004390831778114781,0.06581473616281815,0.011361036773487156,0.044299201161946265,0.011999064373172334,0.07770515613652869,0.016496465783007334,0.9709578842677594,0.015227643181210589
weibo,MMDFND,政治,3,"42,2024,2026",,102,0.7732195538647151,0.09071994548014838,0.7745098039215687,0.08985442539129095,0.9166666666666666,0.031203196243050384,0.1801059762962954,0.044054009288954935,0.17945587060746457,0.047554880512259375,0.09803921568627451,0.06122547057253332,0.22549019607843138,0.08985442539129099,0.9370964850022574,0.07441776584928488
weibo,MMDFND,教育,3,"42,2024,2026",,240,0.8703923954441554,0.0630325476105155,0.8916666666666666,0.0505181485540922,0.9624881291547958,0.016739154546127573,0.11123312974959847,0.049754760390283474,0.09468829865891958,0.04794282033020379,0.05833333333333333,0.05773502691896258,0.10833333333333334,0.05051814855409226,0.9362226749707285,0.04693790089166096
weibo,MMDFND,社会,3,"42,2024,2026",,1929,0.9164327268067916,0.01190059598588845,0.9326075686884395,0.0098769097373031,0.9794572213339893,0.0019152033610764963,0.03970839396333434,0.004090417652935075,0.05294574720164876,0.0033175355211490626,0.03421461897356143,0.005607389230892676,0.06739243131156039,0.009876909737303083,0.9692829563400132,0.009547647912272684
weibo,MMDFND,科学,3,"42,2024,2026",,156,0.7823286132817932,0.0981643205965367,0.8461538461538461,0.05087983290508829,0.9279279279279279,0.021845685861229088,0.13684160844609441,0.05415192445000222,0.13952275713117326,0.04446129425593198,0.10897435897435898,0.02937548522407589,0.15384615384615385,0.050879832905088275,0.9554567034195851,0.02040758788193768
weibo,MMDFND,经济,3,"42,2024,2026",,147,0.8561389438718631,0.034494398483480106,0.8571428571428571,0.03534797566467094,0.9804597701149426,0.006527480857241726,0.10995329389499886,0.014202044722927541,0.11458151507943669,0.02696654986355774,0.047619047619047616,0.04248297958094148,0.14285714285714288,0.035347975664670975,0.8800989110670195,0.13908533206063645
weibo21,MMDFND,军事,3,"42,2024,2026",,69,0.9391534391534392,0.05269466742603721,0.9420289855072465,0.05020437123388053,1.0,0.0,0.0629683431965321,0.05264314963239926,0.051806504364839946,0.04423182571113534,0.043478260869565216,0.043478260869565216,0.057971014492753624,0.0502043712338805,0.9714624488457786,0.027182085019232423
