dataset,split,lambda,group,n_seeds,mean_jaccard_change_from_deterministic_mean,mean_jaccard_change_from_deterministic_std,mean_repeated_eval_selection_entropy_mean,mean_repeated_eval_selection_entropy_std,mean_pad_top1_top2_margin_mean,mean_pad_top1_top2_margin_std,offline_selected_weak_domain_neighbor_rate_mean,offline_selected_weak_domain_neighbor_rate_std,n_total_across_seeds
weibo,test,0.0,all,3,0.0,0.0,1.6693356821832668,0.0010060518305481149,16.795335292707666,0.058793962588479715,0.1639362912400455,0.12943495708578973,4395
weibo,test,0.0,high_conflict,3,0.0,0.0,1.6704414557804312,0.0014369699897598422,16.79514217463328,0.058479103180191734,0.17120799273387824,0.13782681460117285,1101
weibo,test,0.0,low_conflict,3,0.0,0.0,1.6689808540837967,0.0014008468188816516,16.79548810981383,0.05898892856513758,0.1716621253405994,0.11911440323920654,1101
weibo,test,0.0,weak_domain_samples,3,0.0,0.0,1.6691777654316116,0.0024374886170526622,16.792645638691628,0.05518598010845592,0.7741545893719807,0.25347649311758086,414
weibo,test,0.05,all,3,0.5997724687144483,0.021164079097580852,1.6693356821832668,0.0010060518305481149,16.795335292707666,0.058793962588479715,0.3788395904436859,0.013169816642713137,4395
weibo,test,0.05,high_conflict,3,0.6085376930063581,0.05179501336742331,1.6704414557804312,0.0014369699897598422,16.79514217463328,0.058479103180191734,0.4341507720254314,0.027293331882500896,1101
weibo,test,0.05,low_conflict,3,0.6091432031486529,0.019252937445455223,1.6689808540837967,0.0014008468188816516,16.79548810981383,0.05898892856513758,0.4069028156221617,0.025317638264789,1101
weibo,test,0.05,weak_domain_samples,3,0.5201288244766507,0.12128715012979421,1.6691777654316116,0.0024374886170526622,16.792645638691628,0.05518598010845592,0.6521739130434782,0.009586055474871685,414
weibo,test,0.1,all,3,0.5997724687144483,0.021164079097580852,1.6693356821832668,0.0010060518305481149,16.795335292707666,0.058793962588479715,0.3788395904436859,0.013169816642713137,4395
weibo,test,0.1,high_conflict,3,0.6085376930063581,0.05179501336742331,1.6704414557804312,0.0014369699897598422,16.79514217463328,0.058479103180191734,0.4341507720254314,0.027293331882500896,1101
