dataset,seed,split,view_type,rows,view_ce_mean,view_correct_rate,view_flip_rate,anchor_view_abs_diff_mean,anchor_view_jsd_mean
weibo21,42,train,anchor_deterministic_pair,4926,0.00026026858336784537,1.0,0.0,0.0,0.0
weibo21,42,train,duplicate_anchor_pair,4926,0.00026026858336784537,1.0,0.0,0.0,0.0
weibo21,42,train,pad_bottom2_nonself_pair,4926,0.0002466201005506871,1.0,0.0,3.3259620179124745e-05,7.603965303152115e-07
weibo21,42,train,pad_top2_nonself_pair,4926,0.00025812417777966136,1.0,0.0,1.79498176353609e-05,2.5652375204604924e-07
weibo21,42,train,random_nonself_pair_seed1,4926,0.0002470045898887165,1.0,0.0,2.9941800190167806e-05,6.536286379555641e-07
weibo21,42,train,random_nonself_pair_seed2,4926,0.00024680021434689747,1.0,0.0,2.811524236800797e-05,6.056319053847478e-07
weibo21,42,train,random_nonself_pair_seed3,4926,0.0002472141913276174,1.0,0.0,2.9057093016172418e-05,6.253776397183566e-07
weibo21,42,train,self_view_pair,4926,0.0002610831737862989,1.0,0.0,1.6174913394230403e-05,2.019010091679455e-07
weibo21,42,train,shuffled_pad_top2_nonself_pair,4926,0.00025625068824541706,1.0,0.0,2.1160868487478322e-05,3.860863728379275e-07
weibo21,42,val,anchor_deterministic_pair,615,0.15835834386303682,0.9560975609756097,0.0,0.0,0.0
weibo21,42,val,duplicate_anchor_pair,615,0.15835834386303682,0.9560975609756097,0.0,0.0,0.0
weibo21,42,val,pad_bottom2_nonself_pair,615,0.158167083670277,0.9560975609756097,0.0,0.002446932070870574,5.681334092298596e-05
weibo21,42,val,pad_top2_nonself_pair,615,0.15778331337186874,0.9544715447154472,0.0016260162601626016,0.0013182222170857634,1.4239589238460727e-05
weibo21,42,val,random_nonself_pair_seed1,615,0.15894671432754626,0.9560975609756097,0.0,0.001706845809720965,2.7035949865931083e-05
weibo21,42,val,random_nonself_pair_seed2,615,0.15829171188366833,0.9560975609756097,0.0,0.0017061137406165108,2.8572481422157663e-05
weibo21,42,val,random_nonself_pair_seed3,615,0.15870855973334372,0.9560975609756097,0.0,0.0016748979606601517,2.6486562539851378e-05
weibo21,42,val,self_view_pair,615,0.1584689073769139,0.9560975609756097,0.0,0.0011630299397288914,1.158589845553558e-05
weibo21,42,val,shuffled_pad_top2_nonself_pair,615,0.1568494839919968,0.9560975609756097,0.0032520325203252032,0.001528755821460081,2.0034898825899195e-05
