dataset,seed,split,view_type,rows,view_ce_mean,view_correct_rate,view_flip_rate,anchor_view_abs_diff_mean,anchor_view_jsd_mean
weibo21,42,train,anchor_deterministic_pair,4926,0.00026026858336784537,1.0,0.0,0.0,0.0
weibo21,42,train,duplicate_anchor_pair,4926,0.00026026858336784537,1.0,0.0,0.0,0.0
weibo21,42,train,pad_bottom1_nonself_single,4926,0.00024272107369618438,1.0,0.0,4.256169940301287e-05,1.113521528262615e-06
weibo21,42,train,pad_bottom2_nonself_pair,4926,0.0002466201005506871,1.0,0.0,3.3259620179124745e-05,7.603965303152115e-07
weibo21,42,train,pad_bottom2_nonself_single,4926,0.0002537276962148441,1.0,0.0,4.0883510482019464e-05,1.190299413446524e-06
weibo21,42,train,pad_top1_nonself_single,4926,0.0002610147014219646,1.0,0.0,1.602537831690198e-05,2.0623890687700465e-07
weibo21,42,train,pad_top2_nonself_pair,4926,0.00025812417777966136,1.0,0.0,1.79498176353609e-05,2.5652375204604924e-07
weibo21,42,train,pad_top2_nonself_single,4926,0.000256457544633414,1.0,0.0,2.69597872688047e-05,5.766155469429614e-07
weibo21,42,train,random_nonself_pair_seed1,4926,0.0002470045898887165,1.0,0.0,2.9941800190167806e-05,6.536286379555641e-07
weibo21,42,train,random_nonself_pair_seed2,4926,0.00024680021434689747,1.0,0.0,2.811524236800797e-05,6.056319053847478e-07
weibo21,42,train,random_nonself_pair_seed3,4926,0.0002472141913276174,1.0,0.0,2.9057093016172418e-05,6.253776397183566e-07
weibo21,42,train,random_nonself_seed1_rank1_single,4926,0.0002475612851537637,1.0,0.0,3.6756154585413574e-05,9.669020930095512e-07
weibo21,42,train,random_nonself_seed1_rank2_single,4926,0.0002491699012049457,1.0,0.0,3.5762084395066084e-05,9.282976591724798e-07
weibo21,42,train,random_nonself_seed2_rank1_single,4926,0.0002484569154462619,1.0,0.0,3.50533808306446e-05,8.970986424939305e-07
weibo21,42,train,random_nonself_seed2_rank2_single,4926,0.000247870289879412,1.0,0.0,3.519639752253066e-05,9.089502468706216e-07
weibo21,42,train,random_nonself_seed3_rank1_single,4926,0.0002482273395831387,1.0,0.0,3.5232923381461595e-05,9.154710313910124e-07
weibo21,42,train,random_nonself_seed3_rank2_single,4926,0.0002489267744819886,1.0,0.0,3.614254441694826e-05,9.333490386816719e-07
weibo21,42,train,self_view_pair,4926,0.0002610831737862989,1.0,0.0,1.6174913394230403e-05,2.019010091679455e-07
weibo21,42,train,shuffled_pad_top1_nonself_single,4926,0.00025976257151374954,1.0,0.0,2.1325522016142806e-05,3.991457224093097e-07
weibo21,42,train,shuffled_pad_top2_nonself_pair,4926,0.00025625068824541706,1.0,0.0,2.1160868487478322e-05,3.860863728379275e-07
weibo21,42,train,shuffled_pad_top2_nonself_single,4926,0.00025387509654601254,1.0,0.0,2.7511211845644516e-05,6.008703585470762e-07
weibo21,42,val,anchor_deterministic_pair,615,0.15835834386303682,0.9560975609756097,0.0,0.0,0.0
weibo21,42,val,duplicate_anchor_pair,615,0.15835834386303682,0.9560975609756097,0.0,0.0,0.0
weibo21,42,val,pad_bottom1_nonself_single,615,0.15978394023300413,0.9577235772357724,0.004878048780487805,0.003743030004016777,9.132347734939152e-05
weibo21,42,val,pad_bottom2_nonself_pair,615,0.158167083670277,0.9560975609756097,0.0,0.002446932070870574,5.681334092298596e-05
weibo21,42,val,pad_bottom2_nonself_single,615,0.1568669148782044,0.9577235772357724,0.0016260162601626016,0.003714338473676849,9.507159638916882e-05
weibo21,42,val,pad_top1_nonself_single,615,0.15837128290950667,0.9577235772357724,0.0016260162601626016,0.0011460499237106955,1.206466235814392e-05
weibo21,42,val,pad_top2_nonself_pair,615,0.15778331337186874,0.9544715447154472,0.0016260162601626016,0.0013182222170857634,1.4239589238460727e-05
weibo21,42,val,pad_top2_nonself_single,615,0.157168162773248,0.9544715447154472,0.0016260162601626016,0.0017886272228721963,2.6494807438799592e-05
weibo21,42,val,random_nonself_pair_seed1,615,0.15894671432754626,0.9560975609756097,0.0,0.001706845809720965,2.7035949865931083e-05
weibo21,42,val,random_nonself_pair_seed2,615,0.15829171188366833,0.9560975609756097,0.0,0.0017061137406165108,2.8572481422157663e-05
weibo21,42,val,random_nonself_pair_seed3,615,0.15870855973334372,0.9560975609756097,0.0,0.0016748979606601517,2.6486562539851378e-05
weibo21,42,val,random_nonself_seed1_rank1_single,615,0.1593364849977256,0.9577235772357724,0.0016260162601626016,0.0023072726156065405,4.294003411783492e-05
weibo21,42,val,random_nonself_seed1_rank2_single,615,0.158665347423125,0.9544715447154472,0.0016260162601626016,0.002612874558164135,5.438375293835298e-05
