rows,macro_f1,accuracy,auc,brier,ece,high_conf_error_rate,selector_margin_mean,dataset,seed,split,selector_mode,reliability_signal,reliability_lambda,reliability_gating,reliability_stats_mode,reliability_ema_momentum,regret_lambda,route_balance_lambda,regret_margin,router_tau_start,router_tau_end,adapter_dim,router_hidden,eval_total_epochs,variant_tag,checkpoint,reliability_stats_count,tag,family,weak_rows,weak_macro_f1,weak_accuracy,flip_rows_aligned,wrong_to_correct,correct_to_wrong,flip_net,label_flip_count,support_metric_better_count,delta_macro_f1_vs_ref,delta_accuracy_vs_ref,delta_auc_vs_ref,delta_ece_vs_ref,delta_brier_vs_ref,delta_hce_vs_ref,image_conflict_rate,image_mean_cosine,image_aux_effective_loss,variant,changed_count,train_mode,train_rows,train_alpha_max,train_alpha_mean,train_alpha_active_rate,train_q_entropy_mean,train_w_text_mean,train_w_image_mean,train_w_fusion_mean,train_top_weight_text_rate,train_top_weight_image_rate,train_top_weight_fusion_rate,train_boundary_rate,train_utility_csv
615.0,0.9398373983739836,0.9398373983739836,0.9814066631411952,0.0481960543353624,0.0110925396923989,0.0195121951219512,0.0040601772990653,weibo21,42.0,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64.0,128.0,5.0,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round6_r6a_smoke/seed42/eval/checkpoints_static_aux_weight_2p0_anchor_control/weibo21_seed42_parameter_panda.pkl,,static_aux_weight_2p0_anchor_control,required_control,116.0,0.9221302304766166,0.9224137931034484,615.0,17,15,2,32.0,2.0,0.0032527031825481,0.0032520325203251,-0.0023585404547858,-0.0213953669116347,0.0003897206932276,-0.0048780487804878,0.0246753246753246,0.3841637011615154,0.4114285780963572,static_aux_weight_2p0_anchor_control,,,,,,,,,,,,,,,
,0.9398367621046955,0.9398373983739837,0.9820835536753041,0.045391227002749474,0.020883823990324013,0.01788617886178862,,,,,,,,,,,,,,,,,,,,,,uea_reverse_utility_entropy_alpha0p5,round11_uea_control,,,,,15,13,2,,,,,,,,,,,,uea_reverse_utility_entropy_alpha0p5,28.0,reverse_utility,4926.0,0.5,0.09435443522487164,0.49675192854242795,0.8112911295502567,0.3547573122561796,0.3433305823210461,0.30191210542277447,0.9766544863987008,0.023345513601299227,0.0,,repro_logs/round9_cue_d2/seed42/branch_utility_train.csv
615.0,0.9382099117964338,0.9382113821138212,0.980962453728186,0.0508849396733407,0.0251600829822964,0.0211382113821138,0.0041283467920815,weibo21,42.0,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64.0,128.0,5.0,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round6_r6a_smoke/seed42/eval/checkpoints_generic_dwa/weibo21_seed42_parameter_panda.pkl,,generic_dwa,required_control,116.0,0.9568677028333455,0.956896551724138,615.0,18,17,1,35.0,2.0,0.0016252166049981,0.0016260162601625,-0.0028027498677948,-0.0073278236217373,0.003078606031206,-0.0032520325203252,0.0181818181818181,0.4013712315209355,0.2137061230644777,generic_dwa,,,,,,,,,,,,,,,
,0.9382072977260709,0.9382113821138212,0.98397673188789,0.048387754408128036,0.015887898660115387,0.016260162601626018,,,,,,,,,,,,,,,,,,,,,,uea_entropy_alpha0p25,round11_uea_ablation,,,,,14,13,1,,,,,,,,,,,,uea_entropy_alpha0p25,27.0,entropy,4926.0,0.25,0.23794644801128254,1.0,0.0482142079548699,0.3661024179333137,0.25481712742579465,0.3790804546408917,0.5032480714575721,0.0,0.49675192854242795,,repro_logs/round9_cue_d2/seed42/branch_utility_train.csv
615.0,0.9365846951914356,0.9365853658536586,0.983765203595981,0.0478063336421347,0.0324879066040337,0.024390243902439,0.0041158966901825,weibo21,42.0,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64.0,128.0,5.0,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round6_r6a_smoke/seed42/eval/checkpoints_detached_aux_no_feature_update/weibo21_seed42_parameter_panda.pkl,,detached_aux_no_feature_update,required_control,116.0,0.903966282832844,0.9051724137931034,615.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3557205403780008,detached_aux_no_feature_update,,,,,,,,,,,,,,,
615.0,0.9365846951914356,0.9365853658536586,0.983765203595981,0.0478063336421347,0.0324879066040337,0.024390243902439,0.0041158966901825,weibo21,42.0,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64.0,128.0,5.0,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round6_r6a_smoke/seed42/eval/checkpoints_deterministic_train_l0/weibo21_seed42_parameter_panda.pkl,,deterministic_train_l0,required_control,116.0,0.903966282832844,0.9051724137931034,615.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5766233766233766,-0.015056932804155,0.0,deterministic_train_l0,,,,,,,,,,,,,,,
615.0,0.9365846951914356,0.9365853658536586,0.983765203595981,0.0478063336421347,0.0324879066040337,0.024390243902439,0.0041158966901825,weibo21,42.0,val,deterministic_train,,,distance,prefit,0.9,0.0,0.0,0.0,2.0,1.0,64.0,128.0,5.0,deterministic_train,/root/autodl-tmp/panda_repro/panda/repro_logs/round6_r6a_smoke/seed42/eval/checkpoints_same_budget_noop_l0/weibo21_seed42_parameter_panda.pkl,,same_budget_noop_l0,required_control,116.0,0.903966282832844,0.9051724137931034,615.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5766233766233766,-0.015056932804155,0.0,same_budget_noop_l0,,,,,,,,,,,,,,,
,0.9365685950413223,0.9365853658536586,0.9832469592808037,0.04937618465507252,0.021368517150149577,0.01788617886178862,,,,,,,,,,,,,,,,,,,,,,uea_confidence_entropy_alpha0p5,round11_uea_control,,,,,18,18,0,,,,,,,,,,,,uea_confidence_entropy_alpha0p5,36.0,confidence,4926.0,0.5,0.00023988605553975647,1.0,0.9995202278889206,0.33336035704686695,0.3333453419398139,0.333294301013319,0.6723507917174177,0.09886317498984978,0.22878603329273245,,repro_logs/round9_cue_d2/seed42/branch_utility_train.csv
,0.9349550502379693,0.9349593495934959,0.9806768905341089,0.050828096203833995,0.01575259906153438,0.02113821138211382,,,,,,,,,,,,,,,,,,,,,,uea_random_utility_entropy_alpha0p5,round11_uea_control,,,,,15,16,-1,,,,,,,,,,,,uea_random_utility_entropy_alpha0p5,31.0,random_utility,4926.0,0.5,0.12014138357357664,1.0,0.7597172328528468,0.3336859728742236,0.3337269874708302,0.33258703965494624,0.3313032886723508,0.3390174583840844,0.32967925294356476,,repro_logs/round9_cue_d2/seed42/branch_utility_train.csv
,0.9299360694784086,0.9300813008130081,0.9780222104706504,0.05944735150289621,0.02740311491969456,0.024390243902439025,,,,,,,,,,,,,,,,,,,,,,uea_shuffled_utility_entropy_alpha0p5,round11_uea_control,,,,,19,23,-4,,,,,,,,,,,,uea_shuffled_utility_entropy_alpha0p5,42.0,shuffled_utility,4926.0,0.5,0.47589289602256496,1.0,0.04821420795486989,0.398871502533294,0.17630092151825597,0.42482757594845,0.5032480714575721,0.0,0.49675192854242795,,repro_logs/round9_cue_d2/seed42/branch_utility_train.csv
